date,host,algo,numproc,msgsize,hostTime,hostMem,simTime
2015-02-17,chaipa-1,basic_linear,46,5552293,4.86,11490716k,2.665564
2015-02-17,chaipa-1,bruck,46,5552293,4.88,11490848k,2.665564
2015-02-17,chaipa-1,ring,46,5552293,4.87,11487972k,2.685946
2015-02-17,chaipa-1,ring_light_barrier,46,5552293,4.88,11488216k,2.688808
2015-02-17,chaipa-1,ring_mpi_barrier,46,5552293,5.04,11488044k,2.697723
2015-02-17,chaipa-1,ring_one_barrier,46,5552293,4.87,11488060k,2.686206
2015-02-17,chaipa-1,mvapich2_scatter_dest,46,5552293,4.92,11488260k,2.670660
2015-02-17,chaipa-1,mvapich2,46,5552293,4.88,11488068k,2.670660
2015-02-17,chaipa-1,ompi,46,5552293,4.84,11488044k,2.685946
2015-02-17,chaipa-1,mpich,46,5552293,4.88,11488080k,2.685946
2015-02-17,chaipa-1,impi,46,5552293,4.95,11487952k,2.671709
2015-02-17,chaipa-1,basic_linear,231,6650315,154.16,346637104k,16.315904
2015-02-17,chaipa-1,bruck,231,6650315,150.45,346637132k,16.315905
2015-02-17,chaipa-1,ring,231,6650315,142.59,346567996k,16.421982
2015-02-17,chaipa-1,ring_light_barrier,231,6650315,143.39,346567976k,16.436880
2015-02-17,chaipa-1,ring_mpi_barrier,231,6650315,145.13,346568040k,16.497846
2015-02-17,chaipa-1,ring_one_barrier,231,6650315,142.45,346568032k,16.422307
2015-02-17,chaipa-1,mvapich2_scatter_dest,231,6650315,143.05,346568692k,16.342308
2015-02-17,chaipa-1,mvapich2,231,6650315,143.30,346568576k,16.342308
2015-02-17,paranoia-1-0,basic_linear,107,722206,7.80,32401120k,0.817038
2015-02-17,paranoia-1-0,bruck,107,722206,7.56,32401072k,0.817038
2015-02-17,paranoia-1-0,ring,107,722206,7.51,32340816k,0.865676
2015-02-17,paranoia-1-0,ring_light_barrier,107,722206,7.50,32340832k,0.872507
2015-02-17,paranoia-1-0,ring_mpi_barrier,107,722206,7.81,32340960k,0.897404
2015-02-17,paranoia-1-0,ring_one_barrier,107,722206,7.43,32340912k,0.866001
2015-02-17,paranoia-1-0,mvapich2_scatter_dest,107,722206,7.50,32341856k,0.829081
2015-02-17,paranoia-1-0,mvapich2,107,722206,7.47,32342048k,0.829081
2015-02-17,paranoia-1-0,ompi,107,722206,7.41,32340832k,0.865676
2015-02-17,paranoia-1-0,mpich,107,722206,7.42,32340832k,0.865676
2015-02-17,paranoia-1-0,impi,107,722206,7.49,32342848k,0.830338
2015-02-17,paranoia-1-1,ring,739,63284,234.59,135260528k,12.095146
2015-02-17,paranoia-1-1,ring_light_barrier,739,63284,703.52,135260448k,10.415040
2015-02-17,paranoia-1-1,ring_mpi_barrier,739,63284,127.94,135261056k,10.729723
2015-02-17,paranoia-1-1,ring_one_barrier,739,63284,209.49,135260576k,12.866688
2015-02-17,paranoia-1-1,mvapich2_scatter_dest,739,63284,327.57,135823040k,11.079515
2015-02-17,paranoia-1-1,mvapich2,739,63284,334.14,135823360k,11.157028
